,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,halifax,75,CA,1570056508,93,48.2,44.65,-63.58,12.75
1,karaton,20,ID,1570056719,88,75.2,-6.34,106.1,4.7
2,presidente medici,28,BR,1570056719,72,79.63,-11.18,-61.9,5.21
3,thompson,5,CA,1570056547,34,50.0,55.74,-97.86,11.41
4,castanos,66,MX,1570056720,38,88.33,26.78,-101.42,9.64
5,bethel,90,US,1570056720,81,51.8,60.79,-161.76,9.17
6,sitka,67,US,1570056720,95,57.99,37.17,-99.65,20.0
7,faanui,99,PF,1570056588,76,77.62,-16.48,-151.75,15.12
8,cape town,20,ZA,1570056555,87,61.0,-33.93,18.42,4.7
9,imeni zhelyabova,63,RU,1570056721,97,39.01,58.95,36.6,4.5
10,bensonville,75,LR,1570056721,94,77.0,6.45,-10.61,7.27
11,vila franca do campo,75,PT,1570056722,83,71.01,37.72,-25.43,13.87
12,ponta do sol,0,BR,1570056722,50,73.33,-20.63,-46.0,2.77
13,birjand,0,IR,1570056722,26,57.2,32.86,59.22,4.7
14,kyren,0,RU,1570056723,72,13.5,51.68,102.13,5.03
15,faya,0,SA,1570056723,63,66.2,18.39,42.45,2.8
16,busselton,69,AU,1570056723,65,57.99,-33.64,115.35,13.42
17,punta arenas,75,CL,1570056723,75,46.4,-53.16,-70.91,33.33
18,brae,53,GB,1570056724,87,48.2,60.4,-1.35,10.29
19,dire,69,ET,1570056724,92,51.48,9.18,38.92,1.86
20,rikitea,100,PF,1570056725,89,62.93,-23.12,-134.97,13.38
21,mount gambier,90,AU,1570056590,100,53.6,-37.83,140.78,13.87
22,new norfolk,0,AU,1570056644,39,75.99,-42.78,147.06,9.17
23,ribeira grande,40,PT,1570056725,72,68.0,38.52,-28.7,6.93
24,raudeberg,99,NO,1570056726,71,51.8,61.99,5.14,10.29
25,shubarshi,37,KZ,1570056726,33,47.57,48.59,57.19,8.52
26,bredasdorp,61,ZA,1570056727,87,55.4,-34.53,20.04,6.93
27,tasiilaq,100,GL,1570056727,66,39.2,65.61,-37.64,32.21
28,bluff,0,AU,1570056727,48,73.22,-23.58,149.07,14.67
29,goreloye,47,RU,1570056728,81,50.47,52.92,41.5,7.87
30,atuona,52,PF,1570056728,71,79.49,-9.8,-139.03,6.46
